State,District,Disaster_Type,Risk_Score,Year
Rajasthan,Jaisalmer,Drought,84,2025
Rajasthan,Udaipur,Heavy Rain,72,2024
Rajasthan,Kota,Heatwave,80,2025
Rajasthan,Bikaner,Drought,77,2024

Uttar Pradesh,Lucknow,Flood,81,2024
Uttar Pradesh,Gorakhpur,Flood,85,2025
Uttar Pradesh,Agra,Heatwave,76,2024
Uttar Pradesh,Varanasi,Flood,83,2025
Uttar Pradesh,Kanpur,Urban Flood,79,2024

Bihar,Patna,Flood,89,2024
Bihar,Bhagalpur,Flood,86,2025
Bihar,Muzaffarpur,Heatwave,74,2024
Bihar,Gaya,Drought,69,2025
Bihar,Araria,Flood,82,2024

West Bengal,Kolkata,Cyclone,91,2024
West Bengal,North 24 Parganas,Cyclone,89,2025
West Bengal,Howrah,Flood,84,2024
West Bengal,Jalpaiguri,Landslide,81,2025
West Bengal,Medinipur,Storm Surge,87,2024

Odisha,Puri,Cyclone,93,2024
Odisha,Kendrapara,Storm Surge,89,2025
Odisha,Cuttack,Flood,85,2024
Odisha,Balangir,Drought,72,2025
Odisha,Ganjam,Cyclone,91,2024

Assam,Guwahati,Flood,88,2024
Assam,Dhemaji,Flood,90,2025
Assam,Cachar,Landslide,80,2024
Assam,Barpeta,Flood,87,2025
Assam,Tezpur,Heavy Rain,76,2024

Jharkhand,Ranchi,Heatwave,75,2024
Jharkhand,Dhanbad,Heatwave,77,2025
Jharkhand,Palamu,Drought,72,2024
Jharkhand,Giridih,Flood,70,2025
Jharkhand,Hazaribagh,Heavy Rain,74,2024

Madhya Pradesh,Bhopal,Urban Flood,78,2024
Madhya Pradesh,Indore,Heatwave,81,2025
Madhya Pradesh,Rewa,Flood,83,2024
Madhya Pradesh,Chhindwara,Drought,71,2025
Madhya Pradesh,Gwalior,Heatwave,79,2024
